country_code,date,tmax_c,tmean_c,threshold_p90_c,anomaly_c,is_hot_day,heatwave_id,heatwave_day,heatwave_length
AT,2021-12-10,1.57,-1.27,9.06,-7.49,False,,,
AT,2021-12-11,1.22,-0.23,9.1,-7.88,False,,,
AT,2021-12-12,3.15,0.84,9.24,-6.09,False,,,
AT,2021-12-13,4.95,3.61,9.33,-4.38,False,,,
AT,2021-12-14,7.81,5.48,9.43,-1.62,False,,,
AT,2021-12-15,6.75,4.87,9.69,-2.94,False,,,
AT,2021-12-16,6.48,5.06,9.96,-3.48,False,,,
AT,2021-12-17,6.97,4.81,10.21,-3.24,False,,,
AT,2021-12-18,5.36,3.28,10.26,-4.9,False,,,
AT,2021-12-19,7.27,3.57,10.51,-3.24,False,,,
AT,2021-12-20,4.24,1.94,10.51,-6.27,False,,,
AT,2021-12-21,2.37,-0.78,10.51,-8.14,False,,,
AT,2021-12-22,0.64,-2.86,10.53,-9.89,False,,,
AT,2021-12-23,-0.51,-2.76,10.94,-11.45,False,,,
AT,2021-12-24,9.14,5.87,11.04,-1.9,False,,,
AT,2021-12-25,8.17,2.36,11.08,-2.91,False,,,
AT,2021-12-26,-0.53,-2.13,11.34,-11.87,False,,,
AT,2021-12-27,2.26,-1.34,11.34,-9.08,False,,,
AT,2021-12-28,1.93,-0.4,11.34,-9.41,False,,,
AT,2021-12-29,7.17,4.04,11.34,-4.17,False,,,
AT,2021-12-30,12.25,8.32,11.18,1.07,True,,,
AT,2021-12-31,14.84,11.02,10.97,3.87,True,,,
AT,2022-01-01,13.78,10.23,10.64,3.14,True,,,
AT,2022-01-02,12.24,6.87,10.53,1.71,True,,,
AT,2022-01-03,11.77,9.35,9.93,1.84,True,,,
AT,2022-01-04,11.48,7.21,10.47,1.01,True,,,
AT,2022-01-05,8.64,5.48,10.56,-1.92,False,,,
AT,2022-01-06,5.25,1.78,9.84,-4.59,False,,,
AT,2022-01-07,1.73,-2.62,9.51,-7.78,False,,,
AT,2022-01-08,1.51,-2.35,9.04,-7.53,False,,,
AT,2022-01-09,2.09,-1.08,9.0,-6.91,False,,,
AT,2022-01-10,3.25,0.91,9.0,-5.75,False,,,
AT,2022-01-11,0.84,-1.56,8.67,-7.83,False,,,
AT,2022-01-12,0.23,-2.71,8.37,-8.14,False,,,
AT,2022-01-13,3.79,1.01,8.03,-4.24,False,,,
AT,2022-01-14,8.61,4.2,7.74,0.87,True,,,
AT,2022-01-15,5.41,2.31,7.69,-2.28,False,,,
AT,2022-01-16,4.27,0.45,7.69,-3.42,False,,,
AT,2022-01-17,5.88,3.43,7.62,-1.74,False,,,
AT,2022-01-18,4.79,1.41,7.59,-2.8,False,,,
AT,2022-01-19,3.37,-0.1,7.69,-4.32,False,,,
AT,2022-01-20,5.79,2.44,7.69,-1.9,False,,,
AT,2022-01-21,1.49,-0.8,8.06,-6.57,False,,,
AT,2022-01-22,3.79,0.88,8.48,-4.69,False,,,
AT,2022-01-23,4.02,1.78,9.34,-5.32,False,,,
AT,2022-01-24,1.59,0.31,9.38,-7.79,False,,,
AT,2022-01-25,4.31,0.89,9.56,-5.25,False,,,
AT,2022-01-26,3.4,0.88,9.72,-6.32,False,,,
AT,2022-01-27,6.88,3.05,9.84,-2.96,False,,,
AT,2022-01-28,6.07,3.78,9.97,-3.9,False,,,
AT,2022-01-29,7.36,3.38,10.87,-3.51,False,,,
AT,2022-01-30,8.13,5.64,10.87,-2.74,False,,,
AT,2022-01-31,4.52,2.5,11.52,-7.0,False,,,
AT,2022-02-01,4.99,2.36,11.52,-6.53,False,,,
AT,2022-02-02,7.2,4.34,11.92,-4.72,False,,,
AT,2022-02-03,8.54,4.05,12.11,-3.57,False,,,
AT,2022-02-04,9.5,4.49,12.01,-2.51,False,,,
AT,2022-02-05,7.66,4.45,11.92,-4.26,False,,,
AT,2022-02-06,8.87,4.1,11.7,-2.83,False,,,
AT,2022-02-07,5.92,4.23,11.7,-5.78,False,,,
AT,2022-02-08,7.71,4.79,11.7,-3.99,False,,,
AT,2022-02-09,12.46,7.91,11.7,0.76,True,,,
AT,2022-02-10,12.56,4.78,11.76,0.8,True,,,
AT,2022-02-11,7.9,4.84,11.86,-3.96,False,,,
AT,2022-02-12,6.31,2.58,12.09,-5.78,False,,,
AT,2022-02-13,7.24,2.12,12.09,-4.85,False,,,
AT,2022-02-14,7.08,1.06,12.37,-5.29,False,,,
AT,2022-02-15,9.05,2.93,12.57,-3.52,False,,,
AT,2022-02-16,11.76,6.56,12.89,-1.13,False,,,
AT,2022-02-17,15.32,10.01,13.04,2.28,True,,,
AT,2022-02-18,13.35,8.59,13.04,0.31,True,,,
AT,2022-02-19,12.66,7.42,13.16,-0.5,False,,,
AT,2022-02-20,10.77,6.54,13.44,-2.67,False,,,
AT,2022-02-21,9.26,6.23,13.61,-4.35,False,,,
AT,2022-02-22,7.66,4.98,13.61,-5.95,False,,,
AT,2022-02-23,11.19,6.9,13.65,-2.46,False,,,
AT,2022-02-24,12.28,5.54,13.74,-1.46,False,,,
AT,2022-02-25,7.87,4.95,13.9,-6.03,False,,,
AT,2022-02-26,6.18,2.82,13.74,-7.56,False,,,
AT,2022-02-27,7.09,2.58,13.9,-6.81,False,,,
AT,2022-02-28,3.47,0.23,14.05,-10.58,False,,,
AT,2022-03-01,5.47,0.01,14.09,-8.62,False,,,
AT,2022-03-02,6.81,0.69,14.09,-7.28,False,,,
AT,2022-03-03,7.64,0.96,14.09,-6.45,False,,,
AT,2022-03-04,4.88,0.34,14.74,-9.86,False,,,
AT,2022-03-05,5.16,1.17,15.02,-9.86,False,,,
AT,2022-03-06,3.67,0.36,14.86,-11.19,False,,,
