measure_id,measure_name,section,description,public_money_spent,european_funding,private_money_spent,listed_in_2020_ltrs
NL_011,National Insulation Programme (NIP): the local approach by municipalities,3.1,"The local approach to isolation by municipalities concerns action line 1 of the National Insulation Programme57. The objective of action line 1 of the NIP is to isolate approximately 750,000 owner-occupied and mixed housing units between 2022 and 2030 through a local approach together with municipalities. Municipalities can submit multi-year plans aimed at improving homes with the worst energy labels and low WOZ values. For the local approach can be connected to the transition visions heat and residents initiatives. In this way, different channels reinforce each other as much as possible. Around €1.6 billion is currently available for Action Line 1. The funds can be used by municipalities to improve owner-occupied homes or homes in a mixed housing estate with energy label D or lower (or a similar energetic state) and 80% of the homes must have a WOZ value below the average of the WOZ value of owner-occupied homes in the municipality or below the NHG limit. These resources can be used for the application of insulation and ventilation measures, for financial support, but also for practical support in the sustainability process and relief. The funds can be used on top of national subsidies and are mainly intended to help people who need extra help the most to combat energy poverty as much as possible and to stimulate collective action. In all tranches of the local approach, the funds can also be used for do-it-yourself measures. Do-it-yourself can save costs when insulating. It also reduces the pressure on the execution capacity available in the market. The local approach builds on the resources already made available to municipalities between 2019 and 2023 that allowed small measures to be taken (such as the application of LED lamps, radiator foil and draft strips). With the approaches that have been developed for this purpose, networks have emerged and energy coaches and fixers have come ‘behind the front door’. From the networks, the contacts already made and the application of small measures, steps can also be taken to apply large measures.",,,,
NL_012,Green in and around the city,3.1,"Urban green space is important for a livable city, for various functions. The Netherlands is working on the implementation of the EU Nature Restoration Regulation. In the coming period, an elaboration will be given to the article that focuses on urban ecosystems and within them urban green space and urban tree canopy cover. Building on the approach Green in and around the city (GIOS) of VRO and LVVN. With the GIOS Handreiking, we offer municipalities and provinces both substantive and process-based tools to include green equivalent to other themes within the spatial domain in planning. In the Handreiking we present a guarantee system. Municipalities and provinces can work directly, on a voluntary basis.",,,,
NL_013,The National Living and Safety Programme (NPLV),3.1,"The National Programme for Liveability and Safety (NPLV) works in 20 areas in Dutch cities to improve quality of life and safety, because it is under heavy pressure there. Three substantive goals are being worked on: improving poor housing and ensuring more mixed neighbourhoods, allowing residents to participate more in society and tackling (youth) crime. In the 20 NPLV areas, the construction of approximately 15,000 homes is in preparation with the use of the Housing Impulse (Wbi) and the Startbouwimpuls (Sbi). With the use of funds from the Housing Fund (VHF), almost 1,400 vulnerable homes have been improved, with 4,590 homes starting with this. Furthermore, a total of around 30,000 to 40,000 households in the NPLV areas have been helped with energy-saving facilities for lower energy bills and a healthier living environment. In five areas, 400 homes with energy label D-G have been insulated in the past year with the help of the National Insulation Programme (NIP).",,,,
NL_014,"Approach aimed at individual homeowners, VvEs and rental properties",3.1,,,,,
NL_015,Houses for sale,3.1,"Owner-residents of owner-occupied homes are encouraged to get started with sustainability through attractive, widely accessible subsidies and financing. These are explained below. Furthermore, homeowners are encouraged and supported with communication campaigns, the national platform www.verbeterjehuis.nl and energy counters. These are also described later, in the section on Energiehuizen.",,,,
NL_016,National Insulation Programme (NIP),3.1,"Action lines 1 and 3 of the National Insulation Programme are important pillars of the policy aimed at making owner-occupied homes more sustainable. Action Line 3 aims to isolate 750,000 owner-occupied homes on its own initiative (and through collective purchasing) by 2030. Action line 1 also provides additional support through municipalities for some 750,000 owner-occupiers who need it to become more sustainable (see above).",,,,
NL_017,Investment subsidy Sustainable Energy and Energy Savings (ISDE),3.1,"The Investment Grant for Sustainable Energy and Energy Saving (ISDE) is a subsidy for energy-saving and sustainable measures for homeowners and business users. The ISDE subsidizes on average 30% of the purchase costs. For insulation measures, 1 measure has a subsidy intensity of 15% and for 2 or more measures this is doubled to 30%. This is to encourage homeowners to take several measures at the same time. By 2026, the ISDE budget will be €500 million. Every year a new budget is available. ISDE will continue until 2030. A total of €2.25 billion is available for the period 2026 to 2030. Homeowners receive subsidies for: • insulation measures • heat pumps • solar water heaters • connection to the heat network • Electric Cooking Equipment Business users receive subsidies for: • heat pumps • solar water heaters • small-scale wind turbines It is also possible to apply for ISDE as an intermediary for a homeowner. In addition, since February 2024, municipalities can apply for and receive the ISDE on behalf of homeowners, in order to unburden their residents. Municipalities can thus pre-finance this part of the costs, for example with funds from the Specific Allowance (SpUk) Local Approach Isolation and subsequently submit and receive the application for the ISDE. As of 2024, a bonus subsidy will also be available if biobased environmentally friendly insulation material is used, as is the case with the Subsidy Scheme for Sustainability for Owners' Associations (SVVE) and the Subsidy Scheme for Sustainability and Maintenance of Rental Homes (SVOH). In addition, the subsidy conditions for monuments have been relaxed as of 2024.",€ 512.430.000,€0.00,"€1,939,000,000",Yes
NL_018,Insulation homes Groningen and North Drenthe,3.1,"From 2025, homeowners in the province of Groningen and in the municipalities of Aa and Hunze, Noordenveld and Tynaarlo in North Drenthe can apply for a subsidy to isolate their home. This measure is one of the measures from the Cabinet response Nij Begun, following the report of the Parliamentary Committee of Inquiry into Natural Gas Extraction Groningen. The budget for measure 29 (Insulation approach for homes in Groningen and North Drenthe) is 1.65 billion euros. Of this, 1.5 billion is for measures and 150 million for implementation. The budget for measure 28 (Reinforcing and combining insulating measures) is EUR 380 million. Different conditions apply depending on the target group.",,,,
NL_019,National Heat Fund,3.1,"The National Heat Fund Foundation provides loans to homeowners for substantial energy-saving measures, such as solar panels, heat pump, HR glass and insulating walls, floor and roof.The aim is to have provided 6.4 billion euros in loans by 2030. In other words: the financing of 830,000 energy-saving measures for 500,000 households and educational institutions. The financing possibilities of the National Heat Fund have been expanded in several ways since the end of 2022: • Homeowners without loan space. For this group, consumer financing of up to 10,000 euros is available at zero percent interest. For the first five years, the homeowner does not pay any repayment, after which a reassessment is carried out. • Low-income and low-middle-income homeowners. They can borrow at an interest rate of 0%. • The funding possibilities have been extended to small VvEs with less than eight apartment rights. VvEs receive an interest rate discount. For homeowners with a low or middle income, the interest rate at the Warmtefonds for the entire term is zero percent and there are no closing costs. The National Heat Fund puts the money in a building depot, so that the installer or contractor is then paid. Homeowners repay the financing in seven, ten or twenty years. In the case of interest-free financing, the amount that people repay monthly is usually less than the savings on the energy bill. Especially in combination with the national subsidy through the ISDE and the municipal subsidy (local isolation approach). The National Heat Fund is available for all homeowners, including those who are not eligible for a loan from the bank on the basis of their income or age. National Heat Fund and RVO are working on a pilot in which homeowners who apply for a loan also receive the offer to have the ISDE arranged by the Heat Fund.","€335,390,000",€0.00,N.B.,Yes
NL_020,Temporary Mortgage Credit Scheme,3.1,"Since January 2024, the Mortgage Loan Standards (Temporary Mortgage Credit Regulation) have made it possible to include additional borrowing space to make the home more sustainable.",,,,
NL_021,Improving the provision of information on financing options for sustainability,3.1,"The government writes a guide for municipalities on how they can offer homeowners support in the financial aspects of sustainability. The Dutch government is investigating the integration of sustainability in mortgage software. The aim is to support advisors in providing financial advice on the investment needed to become more sustainable. It is desirable that they can easily see in their software package which financial options exist and financing options for sustainability (including through subsidies, the National Heat Fund, consumer and mortgage credit) are discussed as standard in advisory meetings. This research is ongoing and initial results are positive. Possibly actual implementation will take place in early 2026.",,,,
NL_022,The Standard for home insulation and target values,3.1,"On 23 June 2021, the government published the Standard for residential insulation and the target values for building elements. The Standard originated from the Climate Agreement and was drawn up by a committee consisting of a broad representation of interested parties, such as the Association of Dutch Municipalities (VNG), Bouwend Nederland, Techniek Nederland and the Woonbond. The Standard indicates when a home is future-proof insulated and ready for a sustainable heat solution. The Standard is largely insulated, but this is possible with measures within the existing construction. When setting the standard, the feasibility of measures in an existing building has therefore been taken into account. The number of the Standard indicates the net heat demand of a house in kWh/m²/year) according to a calculation with the NTA-8800. The height of the standard is determined with a formula, which differs for 4 categories: pre-war and post-war combined with housing type multi-family or single-family. In addition, the ratio of the surface of the house and the surface of facades and roof (Als) also determines the height of the standard. The starting point is that post-war homes that meet the standard are suitable for heating with low temperature release (50 degrees supply) and pre-war suitable for MT heat supply (70 degrees supply). Agreements have already been made with the housing corporations about homes that need to be insulated, so that the average heat demand of the housing stock decreases. The standard is the reference value. See the section on the National Performance Agreements (NPA) under the heading Rental Homes below.",,,,
NL_023,Associations of Owners (VvE),3.1,"In the Netherlands, approximately 1.4 million owner-occupied and rental homes are covered by a VvE. This represents 18% of the total number of homes. Many non-residential functions, such as shops, are also in a VvE. If an apartment owner wants to invest in a more energy-efficient apartment, for example to reduce the energy bill, that is not easy, because apartment owners usually have to arrange that together. The Acceleration Agenda for making VvEs more sustainable sets out plans to help VvEs become more sustainable58.",,,,
NL_024,Simplification of VvE decision-making,3.1,"In order to simplify the decision-making process of VvEs, the government intends59 to amend the Civil Code. The government programme has confirmed that decision-making on sustainability measures will be simplified. The legislative amendment means that a majority of 50% +1 of the votes is sufficient for a decision to be taken on sustainability measures and maintenance measures. And that there is no longer a mandatory attendance requirement (quorum) for a VvE decision is. The draft legislative proposal for a simpler decision-making within VvEs will be submitted for internet consultation at the end of 2025. VvEs can already get started and fortunately this is also happening more and more often. But in order to accelerate, VvEs ask for more information and guidance. That is why several initiatives have been launched for VvEs.",,,,
NL_025,Unburdening VvEs,3.1,"Unburdening VvEs involves making funds available for activation, construction and process guidance for sustainability and drawing up multi-annual maintenance plans of VvEs. In the Multi-annual Programme Climate Fund 2024, 25 million euros were allocated for a national plan of action to make the 1.2 million homes in Associations of Owners (VvEs) in the Netherlands more sustainable. First of all, efforts are being made to activate and unburden VvEs (particularly small ones). Activation is done on the one hand by encouraging VvEs to become more sustainable in laws and regulations and on the other hand with help in physical and digital form in setting up the organisation of the VvE.",,,,
NL_026,Milieu Centraal opens national knowledge centre to make VvEs more sustainable,3.1,"Since December 2024, Milieu Centraal has been supporting municipalities and market parties with a new knowledge centre that focuses on making VvEs more sustainable, using the available knowledge at national level to strengthen local sustainability. In 2025, apartment owners who want to get started with their VvE can also contact this knowledge centre themselves for first practical support, advice and tools. Start of training Utrecht University of Applied Sciences process supervisors on making VvEs more sustainable Utrecht University of Applied Sciences has started training process supervisors who guide VvEs during the sustainability process. These professionals play a crucial role by helping to organize sustainability on behalf of the apartment owners. The training is linked to the register ‘Process supervisor for sustainability (VvE)’ at the Sertum Institute. This ensures professionalism and quality.",,,,
NL_027,Improving the financial possibilities of VvEs,3.1,"Improving financial support for VvEs is an important part of the VvE Acceleration Agenda. It starts with the creation of a plan and for that, more subsidy is available from the Subsidy Scheme for Sustainability for Owners' Associations (SVVE). There are several subsidies for implementing energy-saving measures: • The SVVE is not only for advice, but also for the implementation of the measures. • For mixed VvEs (i.e. with private buyers and landlords), there is the incentive scheme for natural gas- free rental housing (SAH). • If apartment owners start using energy-saving measures on non-collective buildings (sometimes window frames and glass, for example, are individually owned) they are eligible for ISDE. • In addition, in the local approach of the National Insulation Programme, municipalities can also use resources to combat energy poverty and to isolate homes of owner-occupiers with poor labels to help VvEs become more sustainable. The VvEs acceleration agenda sets out the ambition to improve borrowing opportunities. For example, the application procedure at the National Heat Fund has been improved and VvEs receive an interest discount. In recent years, we have seen an increase in the number of VvEs that borrow. It is then the legal entity VvE that takes out the loan. The VvE pays repayment and interest to the financier, such as Nationaal Warmtefonds or Svn. The apartment owners do not take out a personal loan themselves. When selling the apartment there is no hassle. In fact, when sold, the apartment is more attractive, because these VvEs are seriously involved in maintenance and sustainability. The incomes of the members of the VvE do not play a role in this lending. It may happen that some apartment owners have difficulty paying the increase in the monthly VvE contribution, if it is increased by the VvE in connection with the loan. National Heat Fund is currently preparing a scheme for these owners. The idea is that individual VvE members, after checking their income and expenses, can be eligible for a financial contribution during the first years of the VvE energy savings loan. The National Heat Fund is expected to start this scheme in the second half of 2025. Another development is that SVn started the Future-proof Maintenance Fund for VvEs, which provides financial support for necessary and overdue maintenance and sustainability for VvEs from eight apartments onwards. In the case of mixed VvEs, consisting of a mix of private and professional landlords such as housing corporations and investors, the renting parties also have the possibility to repay their share of the investment directly on the loan, so that they have no obligations and liabilities towards the fund afterwards. The Future-proof Maintenance Fund for Owners’ Associations is available everywhere in the Netherlands. Specifically for small CoEs (<8 apartments), there is already an arrangement for the situation where one member cannot fulfil his/her obligations at any time. One possibility is that after a review of the financial situation of this member, the Warmtefonds will (temporarily) reduce the monthly charge for the VvE by the amount that the non-sustainable VvE member should have paid.",,,,
NL_028,Sustainability subsidy scheme for owners' associations (SVVE),3.1,"The sustainability subsidy scheme for owners' associations (SVVE) is a subsidy for (mixed) Owners' Associations (VvE), housing associations or housing cooperatives to make their building more sustainable. This can be done, for example, by taking energy-saving measures or purchasing a heat pump. The budget of the Sustainable Development Grant Scheme for Owners' Associations (SVVE) for the period 2023 to 2027 is €76.1 million. This total subsidy budget is for both sustainability measures and sustainability advice and research. The SVVE applies fixed amounts per m2 or per unit per sustainability measure. As with ISDE, an average percentage of 15% of the insulation costs applies to one measure, and an average subsidy of 30% applies to two or more measures. As of 1 January 2025, the SVVE has been amended on a number of aspects. For example, the maximum subsidy for advice and process guidance has been increased and the subsidy possibilities for advice, research and (construction) guidance have been expanded.","€5.760,000",€0.00,N.B.,
NL_029,Rental properties,3.1,The Netherlands has approximately 3.4 million rental homes: approximately 2.3 corporation rental homes and approximately 1.1 million rental homes from private landlords. This represents about 40% of the total housing stock. Most low-income people live in rental housing. Sustainability in the rental sector has an important challenge and that is the so-called split incentive. This means that the direct benefits of the investment by the landlord (largely) benefit the tenant in the form of a lower energy bill.,,,,
NL_030,National Insulation Programme (NIP),3.1,"In action line 2 of the NIP, the objective is to have 1 million rental homes isolated to the Standard by landlords before 2030.",,,,
NL_031,Subsidy Scheme for Sustainability and Maintenance of Rental Homes (SVOH),3.1,"The Subsidy Scheme for Sustainability and Maintenance of Rental Homes (SVOH) offers private landlords and institutional investors the opportunity to apply for subsidies for energy-saving measures, maintenance measures and energy advice for their rental homes. The SVOH scheme runs from April 2022 to December 2029 and can - as of 1 April 2023 - be used by all private landlords, other than housing corporations. The SVOH scheme has a budget of 152 million euros. Partly this is also compensation for loss of income as a result of the rent freeze of 1 July 2021. In order to maintain the investment capacity of landlords, the SVOH is made available as a contribution to this. The subsidy applies to one or more energy-saving measures. When applying for one energy saving measure, the subsidy amount is reduced by half. There is also a bonus per m2 per insulation measure for the use of sustainable insulation materials. Maintenance measures are only eligible if at least an energy-saving measure is taken, such as new frames or a ventilation system. The SVOH also provides a 75% subsidy on the costs of having an energy advice drawn up. For the energy advice, at least one energy saving measure must also be implemented in order to be eligible for this subsidy. In all cases, the subsidy amounts to a maximum of 10,000 euros per home, without a maximum per landlord. If a landlord installs a solar boiler or heat pump in addition to an energy-saving measure, there is a max of 15,000 euros per home. For monumental rental properties, different conditions and amounts apply. For example, a monument can also apply for a subsidy for HR glass.","€ 10,825,000",€0.00,N.B.,
NL_032,Support package to make private landlords more sustainable,3.1,"In March 2025, a support package on making private landlords more sustainable was published. The support package consists of four components, namely: 1) improving information provision and process support, 2) strengthening cooperation with local and regional authorities and industry; 3) improving financial support (see also heading ‘Financing opportunities for private landlords’) and 4) phasing out worst insulated rental homes by regulation.",,,,
NL_033,Financing possibilities for private landlords,3.1,"The investment space for private landlords has been reduced by recent fiscal measures. Private landlords can use the SVOH but not the National Heat Fund. That is why, together with mortgage lenders, we are investigating whether more attractive lending opportunities for private landlords can be offered by market parties.",,,,
NL_034,Phasing out EGF energy labels for rental housing by 2029,3.1,"Landlords will be required to phase out EGF energy labels on rental homes by 2029. For this purpose, minimum energy performance requirements for rental homes are included in the Decree on Buildings and the Living Environment (Bbl). In order not to impose unfeasible and unnecessary requirements, a number of exceptions are used. Examples of exceptions are monuments, houses that are used for a maximum of two years, houses that are used for less than 4 months per year and detached houses smaller than 50m2. The scheme in the Bbl will enter into force on 1 January 2029. In line with these proposed regulations with regard to minimum energy performance requirements, the government intends to extend the line to 2040, from then on rental homes must at least meet an energy label B. There will be no rental ban for rental homes in the regulations. Landlords can continue to rent out the house, but there will be requirements that require them to reduce the energy demand of the house. Landlords will have until 1 January 2029 to address the rental properties with the EGF labels. If they do not do so, the municipality in question can maintain from 1 January 2029 to ensure that landlords improve the rental property to at least label D. In doing so, the municipality will have existing enforcement tools, such as the possibility of writing down landlords, possibly subject to a penalty payment.",,,,
NL_035,National Performance Arrangements (NPA),3.1,"On 30 June 2022, the Minister for VRO made national performance agreements with Aedes, Woonbond and VNG. The agreements were reconsidered in 2024. The ambition for a natural gas-free housing stock in 2050 remains unchanged, but the parties set the intermediate target for 450,000 natural gas-free homes from 2030 to 2034. As a result, more steps can be taken in this period in insulating housing corporation property and in installing hybrid heat pumps. The parties have also agreed to focus more on reducing the average heat demand of rental homes. As a result, the measures with the best relationship between costs on the one hand and a reduction in heat demand on the other hand are taken first. In 2024, the average heat demand of all housing corporations will be 108 kWh/m2. The heat demand reduction path is the annual reduction of heat demand over time, plotted with an intermediate target for the average heat demand of the stock of 94 kWh/m2 in 2030 and 87 kWh/m2 in 2034. In addition, the agreement remains that housing corporations will phase out homes with poor energy labels (EFG) by 2028 at the latest.",,,,
NL_036,Modernisation of the Housing Valuation System (WWS),3.1,"The housing valuation system (WWS) prescribes maximum rents based on points for the quality of the home. For example for surface area, energy label and WOZ value. Since the Affordable Rent Act entered into force60 on 1 July 2024, the WWS has become mandatory. Making the WWS mandatory means that landlords are obliged to adhere to the maximum rents that match the quality of the home. Part of this law is a modernization of the WWS, so that homes with higher energy labels are better valued, while homes with lower labels receive deduction points. As a result, the sustainability of a home will play a greater role in determining the maximum rental price. This will - in addition to the standardization to improve rental homes with an energy label E, F or G to at least D from 1 January 2029 - also encourage private landlords to move towards sustainability.",,,,
