measure_category,measure_id,measure_name,epbd_article_2a,directive,description,status
Advice and information,13,Advice,3(e),EPBD,Easily accessible and transparent information on successful cost-effective measures to assist with advice.,Implemented - continuously updated
Advice and information,13,Advice,3(e),EPBD,"One-stop-shop for renovation to provide consumers with information on energy renovations, funding and grants, service providers, support for aggregation of projects (group renovation).",Under preparation
Advice and information,13,Advice,3(b),EPBD,"Information for the market and the customer on the impact of the energy efficiency investment on the value and operating costs of the property over its life cycle (taxpayer, insurance company, tenants, owner).",Recommendation
Tools,,Maintenance and alteration of housing companies,3(e),EPBD,"Easy-to-use tools (e.g. bricks developed by the Finnish Real Estate Federation and the Building Information Foundation) are being used to improve the quality of plans and the consideration of energy efficiency during renovations.",Recommendation/Implemented
Tools,3.2,Fostering carbon neutrality,,EED,"Under the leadership of the Federation of Finnish Construction Industries, construction companies draw up a roadmap for decarbonising their sector and take measures to achieve strategic objectives.",Implemented
Tools,3.2,Fostering carbon neutrality,,EED,"Under the leadership of Rakli ry, real estate companies drew up a roadmap to decarbonise their sector.",Implemented
Tools,3.2,Fostering carbon neutrality,,EPBD,Production of databases and calculation systems for the evaluation of the LCA of repair projects.,"No progress, however a database on emissions from construction products exists. The LCA calculation framework also exists."
Tools,3.3,Energy efficiency in maintenance and renovation projects,3(e),EPBD,"Consolidation of the use of tools developed to support building maintenance (Building Operation and Maintenance Instruction, Fitness Assessment, Building Maintenance Plan, etc.).",Recommendation
Tools,3.3,Energy efficiency in maintenance and renovation projects,3(e),EPBD,Long-termism in real estate management through a real estate strategy with a review horizon of 10-15 years.,Recommendation
Tools,3.3,Energy efficiency in maintenance and renovation projects,3(e),EPBD,The building strategy should draw up a plan to improve energy efficiency and reduce CO2 emissions.,Recommendation
Tools,,Split incentives,1(d),EPBD,"Green Lease and Light Green Lease lease models, developed by RAKLI, are available for sharing investment costs and benefits between landlord and tenant.",Implemented
Tools,,Smart energy system and smart buildings,,,Exchange of information on the built environment and using the Platform of Trust to support co-creation to develop smart services for the built environment.,Implemented
Tools,6.2,Education and skills,1(f),,"Digitalisation of repair construction processes, related skills and development (KIRA-digi 2016-2018) continue with the industry KIRAHub project.",Implemented
