section,section_topic,measure_number,measure_name,content,amending_legislation,lead_institution,participating_institutions,sources_of_funding,time_limit
c,Deep and staged deep building renovation,2,Integration of passports with energy performance certificates,"Rules to avoid duplication: in the case of a valid certificate, the passport shall use its details; in the case of a passport without a valid certificate – data is integrated into the national database/registry","Regulation No E-RD-04-2 of 16.12.2022 – supplement with a chapter/section on passports",SEDA,"MRRB, MRRB",State budget,2026
c,Deep and staged deep building renovation,3,National definitions and thresholds for deep and staged deep renovation,"Regulatory definition of the depth threshold (reaching NZEB/NZEB level or at least 60% primary energy reduction) and conditions for staged renovation (sequential steps within 10-15 years compatible with the final target)","Regulation No RD-02-20-3 of 9.11.2022 – supplement with definitions/thresholds and link to the passport",SEDA,"MRRB, MRRB",State budget,2026
c,Deep and staged deep building renovation,4,Digital passport registration and unique identifier,"Extension of the national register of energy performance certificates to building renovation passports (unique identifier, access rules, traceability and update)","Regulation No E-RD-04-1 of 3.1.2018 – supplement with passports as a new type of entry",SEDA,ME,EU funds,2026-2028
c,Deep and staged deep building renovation,5,Expert requirements and quality control for passports,"Introduction/fine-tuning of competency requirements, changes to the certification programme, possibilities for continuous training, checks and sanctions for systematic poor quality documents","Regulation No E-RD-04-2 of 16.12.2022 – supplementing the rules on qualification and quality control",SEDA,Licensed universities,State budget,2026-2027
c,Deep and staged deep building renovation,6,Compatibility between the building renovation passport and the technical building passport,"Regulation of compatibility/references between the building renovation passport and the technical passport (to use available data and avoid duplication in staged renovation)","Regulation No 5 of 28.12.2006 on the technical passports of construction works – supplement with references/fields for energy data",MRDPW,SEDA,State budget,2027
f,Decarbonisation of heating and cooling,1,National Framework for the Decarbonisation of Heating and Cooling,"Put in place a comprehensive national policy for a phased transition to low carbon and climate neutral heating and cooling systems, encompassing individual and centralised solutions","Energy Act; Energy Efficiency Act; regulations",ME,"MRDPW, AUER","State budget, EU funds",2026
f,Decarbonisation of heating and cooling,2,Phase-out plan for fossil fuel boilers,"Ban new investments in fossil fuel boilers, end subsidies and fully replace with RES and low-carbon technologies by 2040","Regulations to the Energy Act and the Energy Efficiency Act",ME,"MRDPW, AUER, municipalities","EU funds, national programmes",2025-2040
f,Decarbonisation of heating and cooling,3,Transformation of centralised heating and cooling systems,"Turning district heating into efficient, low-temperature and flexible networks with an increasing share of RES and waste heat to 100% in 2050","Energy Act; regulations",ME,"SEDA, municipalities, district heating companies","EU funds, EIB, national programmes",2028-2050
f,Decarbonisation of heating and cooling,4,Local heating and cooling plans,"Development of mandatory local plans by municipalities above 45,000 inhabitants for RES, waste heat, low-temperature grids and electrification","Energy Efficiency Act; regulations",MRDPW,"ME, AUER, municipalities","EU funds, municipal budgets",2026-2030
f,Decarbonisation of heating and cooling,5,Regulatory changes for building systems,"Requiring common internal installations in new multi-apartment buildings and regulating geothermal solutions","Spatial Planning Act; EEOSS; Regulation No RD-02-20-3 of 9.11.2022",MRDPW,"ME, AUER, MOEW",National budget,2026
f,Decarbonisation of heating and cooling,6,Mandatory minimum share of RES when replacing heating,"Introduction of a minimum 50% RES requirement for the replacement of a heating source in buildings","EEOSS; Regulation No E-RD-04-2 of 16.12.2022",MRDPW,"ME, AUER","EU funds, national programmes; Private funds",2027
f,Decarbonisation of heating and cooling,7,Modernisation and planning in district heating companies,"Mandatory five-year plans for decarbonisation, loss reduction, digitalisation and RES integration","Energy Act; regulations",SEDA,"ME, municipalities","EU funds, own funds",2026
f,Decarbonisation of heating and cooling,8,Financial and social support to households,"Grants, low-interest loans and targeted support for energy poor households to switch to RES heating","National programmes; regulations",ME,"MoF, MLSP, municipalities","EU funds, state budget, private funding",2025-2040
f,Decarbonisation of heating and cooling,9,Demonstration and pilot projects heating and cooling energy communities,"Replicable pilot models (e.g. micronetworks for heating and cooling)","N/A (project framework)",ME,"Municipalities, AUER","EU Funds, EEA Grants; public-private partnerships",2027-2029
f,Decarbonisation of heating and cooling,10,Monitoring and reporting on heating/cooling decarbonisation,"Annual reporting on progress on RES indicators, emissions and prices",EEOS,SEDA,ME,State budget,From 2027 onwards every year
h,Promoting the use of RES in buildings,1,Setting a national indicative share of energy from renewable sources in buildings,Setting a national indicative share of RES in the final energy consumption of the building sector by 2030,"Update of the INECP; decision of the Council of Ministers",ME,SEDA,State budget,2026
h,Promoting the use of RES in buildings,2,Integration of RES requirements into the energy performance of buildings,"Introduction of quantitative requirements for a minimum share of RES in new construction and deep renovation, in line with the EPBD (zero-rated buildings)","EEOSS; Regulation No RD-02-20-3 of 9.11.2022",MRDPW,"ME, AUER",State budget,2026-2027
h,Promoting the use of RES in buildings,3,Solar readiness for new buildings,"Obligation for all new buildings to be designed with design and technical readiness for RES (PV and solar thermal systems)","OSH; EEOSS; Regulation No RD-02-20-3 of 9.11.2022",MRDPW,"ME, AUER",Private funds,2026
h,Promoting the use of RES in buildings,4,Regulatory framework for RES in multi-apartment buildings,Facilitating the collective installation and sharing of RES in co-ownership,"Energy Act; ZUES; regulations",ME,"MRDPW, KEVR, AUER",Private funds,2026-2027
h,Promoting the use of RES in buildings,5,Development of energy communities in the building sector,"Optimising the conditions for shared production and consumption in buildings and neighbourhoods, including network charges and access to data","Energy Act; Regulation No 6 of 28.3.2024; Rules for measuring electricity; Regulation No E-RD-04-1 of 12.3.2020",ME,"KEVR, ECO, ERP","EU funds; private funds",2026-2027
h,Promoting the use of RES in buildings,6,Financial incentives for RES in buildings,"Combined grant and loan instruments for households, municipalities and vulnerable groups","NDF rules; programming documents",NDF/ME,"SEDA, Banks","NDF; EU funds; private funds",From 2026
h,Promoting the use of RES in buildings,7,RES clearance centres (OSS),Building an OSS network of technical and administrative support for citizens and municipalities,"EEOSS; regulatory act",ME,"AUER, municipalities",EU funds,2026-2027
h,Promoting the use of RES in buildings,8,National register of RES in buildings,Establishment of a public register of RES installations linked to energy performance certificates,"EEOSS; Regulation No E-RD-16-647 of 15.12.2015",SEDA,ME,"State budget; EU funds",2027-2028
h,Promoting the use of RES in buildings,9,Monitoring and annual reporting on RES in buildings,Annual progress report on the share of RES in buildings and the contribution to the INECP objectives,"EEOS – reporting obligation",SEDA,ME,State budget,From 2027 onwards every year
i,Deployment of solar energy in buildings,1,Solar installations in new public and non-residential buildings above 250 m2,"Mandatory design and construction of a photovoltaic or solar thermal installation, where technically and economically feasible",National legislation,MRDPW/AUER/municipalities,,"National Decarbonisation Fund, EE and RES Programme, Recovery and Resilience Facility",Until 31.12.2026
i,Deployment of solar energy in buildings,2,Solar installations in existing public buildings above 2000 m2,Installation of solar devices during major renovation or reconstruction,National legislation,"MRDPW, ME, municipalities",,"National Decarbonisation Fund, European Public Buildings Programmes",Until 31.12.2027
i,Deployment of solar energy in buildings,3,Solar installations in existing public buildings above 750 m2,Mandatory inclusion of solar systems in case of overhaul or renovation of the roof,National legislation,"MRDPW, municipalities",,"National Decarbonisation Fund, Regions in Growth Programme",Until 31.12.2028
i,Deployment of solar energy in buildings,4,Solar installations in all public buildings above 250 m2,Completion of solar energy in public buildings and integration into building energy management systems,National legislation,"ME, AUER, municipalities",,"National Decarbonisation Fund, EE and RES, future public sector programmes",Until 31.12.2030
i,Deployment of solar energy in buildings,5,Solar installations in existing non-residential buildings above 500 m2,Installation of solar devices when renovating a roof or changing building systems,National legislation,"MRDPW, municipalities",,"National Decarbonisation Fund, private investments, energy service contracts",Until 31.12.2027
i,Deployment of solar energy in buildings,6,Solar installations in new residential buildings,Mandatory design and construction of solar installations (photovoltaics or solar thermal),National legislation,"MRDPW, municipalities",,"National Decarbonisation Fund, Mortgages and Green Credits, Private Investment",Until 31.12.2029
i,Deployment of solar energy in buildings,7,Solar installations in new covered car parks,Installation of photovoltaic sheds or panels to power common needs and charging stations,National legislation,"MRDPW, municipalities, investors",,"Private investment, NFC, sustainable mobility programmes",Until 31.12.2029
i,Deployment of solar energy in buildings,8,Development of national criteria and exemptions under Article 10,Clear rules for the implementation and justified release of protected sites,National legislation,"MRDPW, ME","NINAC, AUER, NSORB",,2025-2026
i,Deployment of solar energy in buildings,9,Simplified notification procedure and digital connection platform,Reducing the administrative time for accession to less than 1 month,National legislation,"ME, ERP Operators","KEVR, municipalities",,2025-2027
i,Deployment of solar energy in buildings,10,National programme for solar installations in public buildings,Achieved coverage of more than 80% of the public building stock,National legislation,"MRRB, MRRB","AUER, NSORB",,2026-2030
i,Deployment of solar energy in buildings,11,Integrated solutions (PV + storage + management),Increasing self-consumption and network flexibility,National legislation,ME,"NFC, BDB, private investors",,2025-2030
i,Deployment of solar energy in buildings,12,Training and qualification of designers and installers,Creation of a network of certified specialists for RES installations,National legislation,NVET,"Vocational secondary schools, universities",,2025-2028
i,Deployment of solar energy in buildings,13,National Solar Installation Register,Full traceability and visibility of progress,National legislation,SEDA,"ME, KEVR, municipalities",,2026 and annually
j-1,Life-cycle GHG emissions - Regulatory requirements,1,Regulation on the calculation of life cycle carbon emissions (LCC) of buildings,"Mandatory emission estimation for modules A1 to A5, B4 to B5, C1 to C4 and benefit/load accounting D; methodology harmonised with Level(s) and EN 15978/EN 15804","New regulation","MRRB (lead), ME, MOEW, AUER",,State budget,"Q1-Q4 2026; entry into force 2027; biennial review"
j-1,Life-cycle GHG emissions - Regulatory requirements,2,Setting first carbon footprint limits for new buildings (Article 7(5) EPBD),"Differentiation by building type; a stepwise tightening mechanism every 2 years; introduction of mandatory life cycle analysis for major renovations","Regulation amendment","MRRB (lead), ME, MOEW, AUER",,State budget,"Q2-Q4 2026; first values 2027; revised 2029, 2031"
j-1,Life-cycle GHG emissions - Regulatory requirements,3,Amendments to the Spatial Planning Act (ZUT),"Registration of the LCA assessment as part of the investment project and as a condition for building permit; requirement for a selective demolition audit","ZUT amendment","MRDPW (lead), MoEW",,State budget,Q3 2026; entry into force 2027
j-1,Life-cycle GHG emissions - Regulatory requirements,4,Amendments to the Energy Performance of Buildings Regulations,"Introducing a carbon storage and total life cycle emissions indicator in the energy performance certificate; introduction of a digital material passport","Regulation amendment","ME (Lead), AUER, MRDPW",,State budget,Q2-Q4 2026; entry into force 2027
j-1,Life-cycle GHG emissions - Regulatory requirements,5,Methodological guidance for the application of Level(s),"Calculation templates, reference values for verification/confirmation; EPD requirements and database maintenance",Methodological guidance,"MRDPW, AUER, KIIP/KAB",,State budget,"Q1-Q3 2026; annual renewal"
j-2,Life-cycle GHG emissions - Circular economy,1,Update of the Construction Waste Ordinance,"Mandatory pre-audits and selective demolition plans; preparing for re-use/recycling targets >=70% total weight; digital declaration for material recovery","Ordinance amendment","MoEW (lead), MRDPW, EEA, NSORB",,EU funds/State budget,Q2-Q4 2026; entry into force 2027
j-2,Life-cycle GHG emissions - Circular economy,2,Standards and guidelines for reuse and recycled materials,"Technical specifications for the reuse of components; quality control of recycled aggregates","New guidelines","MRDPW (lead), MTC",,State budget,Q2-Q4 2026; entry into force 2027
j-2,Life-cycle GHG emissions - Circular economy,3,Regional Hubs/Material Depots,"Network of regional centres for CDW processing and reuse; certified shredding and sorting stations","N/A","MoEW, MRDPW, municipalities",,EU funds/municipal budgets,"Q1 2026-Q4 2027; in stages 2027-2028"
j-3,Life-cycle GHG emissions - Low carbon materials and carbon storage,1,Criteria in public procurement,"Requirements for a minimum share of recycled and natural materials; inclusion of carbon saving indicators in public procurement evaluation","Procurement guidelines","APO (lead), MRDPW, MOEW",,State budget,2026-2027
j-3,Life-cycle GHG emissions - Low carbon materials and carbon storage,2,Carbon Storage in Buildings Pilot Programme,"Grant/bonus mechanisms for projects with proven carbon storage capacity (e.g. using natural materials such as wood, hemp, straw); preparation for CRCF certification","N/A (pilot)","ME (lead), MOEW, NFC",,"EU funds, NFC","Design Q2-Q4 2026; pilots 2027-2029"
j-3,Life-cycle GHG emissions - Low carbon materials and carbon storage,3,Guide to Environmental Solutions,"Technical details and fire safety, acoustic solutions, durability and maintenance of materials; examples of circular economy design systems",Technical guide,"MRDPW (Lead), GDPBZ-MoI, Universities",,State budget,Q1-Q4 2026; publication 2027
j-4,Life-cycle GHG emissions - Data traceability and control,1,National registry of total carbon footprint of buildings,"Integration with the register of energy certificates and the digital building register; design and as-built values; indicators for public projects",Regulation,"AUER (lead), MRDPW, MOEW, NSI",,EU funds/State budget,Q1-Q4 2026; first version 2027
j-4,Life-cycle GHG emissions - Data traceability and control,2,Verification system,"Requirements for independent verification of life cycle calculations; need for accreditation of verifiers",Regulation,"MRDPW, BSA/EAMA",,State budget,Q2-Q4 2026; entry into force 2027
j-4,Life-cycle GHG emissions - Data traceability and control,3,Annual report on total life cycle greenhouse gas emissions from buildings,"Average values per building type, application of limit values, reuse/recycling effect and carbon storage",EEOS,"AUER (Lead), MOEW",,State budget,Annual from 2028
j-5,Life-cycle GHG emissions - Programmes and funding,1,NDF Low-carbon refurbishment,"Additional bonus with demonstrated life-cycle carbon savings and/or stored carbon",Programme rules,"ME, NDF, MRDPW",,"NFA, OP/PPO, municipal funds",2026-2030
j-5,Life-cycle GHG emissions - Programmes and funding,2,Circular economy models,"Financing and incentivising selective demolition, conducting audits, sorting by fractions; mandatory control and monitoring requirements",Programme rules,"MOEW, MRDPW",,"PERO/PERSON, municipal",2026-2030
j-5,Life-cycle GHG emissions - Programmes and funding,3,Regional material landfills,Infrastructure and start-up capacity (Operator + Lab),PPP framework,"MOEW, municipalities",,"PPP, municipalities, PPP",2026-2029
l,Improvement of buildings owned by public bodies,1,Inventory of heated/cooled public buildings over 250 m2,"Preparation and publication of a complete inventory of heated and/or cooled buildings over 250 m2 owned or occupied by state, regional and municipal authorities",Energy Efficiency Act,"AUER, municipalities, regional governors, line ministries",,"National register of public buildings; link to EPC Database","By 31.12.2025, updated every 2 years"
l,Improvement of buildings owned by public bodies,2,Annual reporting on 3% refurbishment and 1.9% consumption reduction,"Introduction of a mechanism for annual reporting on progress towards the 3% refurbishment and 1.9% final consumption reduction requirement",Energy Efficiency Act,"AUER, ME, MRDPW, municipalities",,"Reports on municipal EE plans; National analysis of EE policies","From 2026, annually"
l,Improvement of buildings owned by public bodies,3,Alternative approach with renovation passports for staged renovation,"Applying an alternative approach with renovation passports for staged renovation to reach NZEB or NZEB level",Energy Efficiency Act,"MRRB, AUER, municipalities",,"Integration with National Renovation Plan; LIFE CET and ELENA for project preparation",2026-2040
l,Improvement of buildings owned by public bodies,4,Renovation of 3% of total floor area of public buildings annually,Renovation of at least 3% of the total floor area of heated and/or cooled public buildings larger than 250 m2,Energy Efficiency Act,"Building owners – state and municipal authorities",,"National EE programmes; Modernisation Fund; Cohesion Policy 2021-2027","Annual base from 2026"
l,Improvement of buildings owned by public bodies,5,Energy efficiency first principle in procurement,Application of the energy efficiency first principle in the procurement of buildings products and services,Energy Efficiency Act,"APOs, contracting authorities, ME",,"Green public procurement; methodologies for life-cycle costing",Continuous
l,Improvement of buildings owned by public bodies,6,Public reporting on renovation results and energy savings,Public reporting on the results of renovation and energy savings in the public sector,Energy Efficiency Act,"AUER, ME",,"National annual energy efficiency report; EU Building Stock Observatory",Annual
o,Bridging skills gap - education and training,1,Strengthening the role of Sector Skills Councils and Sector Organisations,"Institutionalise the leading role of Sector Skills Councils and sectoral organisations (CCB, CAB, KIIP, Chamber of Installers, etc.) in defining competency profiles, formulating continuing qualification requirements","Amending the Vocational Education and Training Act (VET)","Mont, NAVET, sector skills councils, industry and professional organisations",,State budget; ESF+; Education Programme,2026-2028
o,Bridging skills gap - education and training,2,Updating curricula,"Update vocational training curricula and examination programmes for Architecture and Construction and Electrical and Energy professions, including energy efficiency, RES, NZEB, smart systems, performance and circular economy","Amendments to State Education Standards and Regulations to the VET Act","Mont, NVET, vocational high schools, sector skills councils",,State budget; Education Programme; ESF+,2026-2027
o,Bridging skills gap - education and training,3,National Continuing Vocational Training (CVT) system for all levels,"Establish a single national framework for continuing vocational training covering workers, technicians, planners, architects and engineers; introduction of modular trainings, micro-credentials and CVT credits","Amending VET; amendment of the Higher Education Act (HEA)","Mont, NVET, higher education institutions, sectoral organisations, professional chambers",,"ESF+; Education Programme; National Decarbonisation Fund; private co-financing",2026-2028
o,Bridging skills gap - education and training,4,Training and qualification of teachers and trainers,"Systematic upskilling of teachers in vocational secondary schools, vocational training centres and higher education institutions on EE, RES, smart technologies and performance","Amendments to Regulations to the VET Act and HEA on qualification and status of teachers","Mont, NAVET, higher education institutions, industry organisations",,Education Programme; ESF+; national budget,2026-2029
o,Bridging skills gap - education and training,5,National system for monitoring and forecasting skills needs,"Development of an integrated system for annual monitoring and forecasting of workforce needs by qualification level and region, using data from the construction sector, energy programmes and regional plans","Secondary amendments to the VET Act introducing a mandatory cycle of analysis","Mont, NAVET, NSI, MLSP, FAC, Sector Skills Councils",,State budget; ESF+,2026-2027
p,Awareness-raising campaigns and advisory tools,1,Mandatory minimum budget for communication in renovation programmes,"Introduce a requirement for all public building renovation programmes to allocate a minimum of 2% of the budget to targeted communication, information and consultancy activities integrated with the CCA","Programme rules and methodological guidelines","MA, MRDPW, MF, programme managing authorities",,The budgets of the programmes concerned,2025-2026
p,Awareness-raising campaigns and advisory tools,2,Mandatory budget for monitoring evaluation and reporting,"Introduction of a minimum of 2% of the budget for technical follow-up, measurement and verification of results, behavioural analysis and public reporting","Programme rules and methodological guidelines","ME, AUER, MRDPW, MoF, Managing Authorities",,The budgets of the programmes concerned,2025-2026
p,Awareness-raising campaigns and advisory tools,3,National communication and monitoring methodology,"Development of a standardised methodology and KPI set for communication campaigns and for monitoring the impact of programmes used by all managing authorities","Methodological act/regulation of the Energy Efficiency Act or decision of the Council of Ministers","ME, AUER, MS, NSORB, universities and NGOs",,State budget; technical assistance,2026
p,Awareness-raising campaigns and advisory tools,4,Integration of monitoring with digital registries and CCA,"Link communication, training and monitoring activities with national digital registries (certificates, building renovation passports) and CCA activities","EEOS Regulations and Technical Specifications","SEDA, ME, MRDPW, CCA",,Digitalisation programmes; programme budgets,2026-2027
