measure_id,measure_name,objective,type_of_policy_or_measure,planned_budget_and_sources,entities_responsible,state_of_execution,date_of_entry_into_force,implementation_period
1.3.2,Renovation and upgrading of public buildings,"In accordance with Article 6 of the Energy Efficiency Directive, the objective of this measure is to improve energy efficiency, reduce greenhouse gas emissions and optimise the use of public resources, through planned and exemplary interventions.","Governance, economic and regulatory.","EUR 757.916.666,67 from the budget of the AGE.","AGE policy, the Autonomous Communities and local authorities",All the actions described in this measure are under development and some of them are partially completed.,All actions will start between 2026 and 2027,The actions will take place between 2026 and 2030.
1.3.3,"Energy efficiency, circularity and sustainability requirements for public procurement","In accordance with Article 7 of the Energy Efficiency Directive, the objective of this measure is to ensure the effective and systematic integration of energy efficiency, sustainability and eco-design criteria in public procurement processes for works, services and supplies related to public buildings.","Legislation, governance and training.","EUR 1.550.000,00 from the budget of the AGE.","AGE, AUTONOMOUS COMMUNITIES, LOCAL AUTHORITIES",All the actions described in this measure are under development and some of them are partially completed.,2026-2027,2026-2030
2.1.1,Incentives for vulnerable groups,"The objective of the measure is to reduce economic barriers preventing vulnerable households from accessing energy renovation, through direct support and differentiated tax benefits. The aim is to structurally reduce energy poverty, improve thermal comfort and ensure that the energy transition is implemented in accordance with the principles of social justice and territorial cohesion.",Economic policy or measure.,"EUR 3.000.000.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CCAA and EELL",Under development and partially completed.,2026-2027,2026-2030
2.1.2,Technical assistance in the field of energy poverty,"In accordance with Art. 18 of the EPBD, the objective of this measure is to strengthen the network of one-stop-shops and technical assistance services to facilitate the access of vulnerable households to energy renovation.",Training and awareness-raising policy or measure.,"EUR 10.400.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CCAA and EELL",Under development and partially completed.,2026-2027,2026-2030
2.1.3,Capacity-building and awareness-raising programmes for vulnerable consumers,"According to ENPE, the objective of this measure is to empower and raise awareness among vulnerable consumers to actively participate in the energy transition and manage their consumption efficiently.",Training and awareness-raising policy or measure.,"EUR 1.750.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CCAA and EELL",Under development and partially completed.,2026-2027,2026-2030
3.1.1,Boosting funding for energy renovation and urban regeneration at neighbourhood level,"According to the EPBD, the objective of this measure is to facilitate and widen access to funding for comprehensive energy renovation and urban regeneration actions at neighbourhood or district level, going beyond the building by building approach and encouraging collective interventions that allow for economies of scale, greater impact on energy savings, emission reduction and improvement of the urban environment.",Economic and governance policy or measure.,"EUR 543.600.000,00 from the budgets of the AGE and EUR 260.400.000,00 from the budgets of the ACs.","MIVAU, MITERD, Autonomous Communities and Local Authorities",Under development and partially completed.,2026-2027,2026-2030
3.1.2,Revision of the regional regulatory framework to promote energy renovation and urban regeneration at neighbourhood level,"The aim is to identify the regulatory measures needed to promote energy renovation and urban regeneration at neighbourhood level, with a particular focus on the procedures for demarcating actions on the urban environment and the development of instruments for urban management of actions.",Regulatory and governance policy or measure.,"EUR 25.000,00 from the budget of the AGE","MIVAU policy, Autonomous Communities",Planned.,2026,2026-2027
3.1.3,Promotion of the drafting of Energy Renovation and Urban Regeneration Strategies at municipal level within the framework of the Local Action Plans of the Spanish Urban Agenda,"The objective of this measure is to promote the strategic planning of energy renovation and urban regeneration at municipal level within the framework of the Local Action Plans of the Spanish Urban Agenda, seeking synergies with other sectoral topics such as cooling and heat plans, energy poverty, renovation of public buildings, mobility, renaturalisation, etc.","Technical, knowledge support, regulatory and governance.","EUR 5.340.000,00 from the budget of the AGE.","MIVAU, EMFF, OLD",Planned and under development.,2026-2030,2026-2030
4.1.1,Documentary support for the design and follow-up of a roadmap for the phase-out of fossil fuel boilers by 2040,The objective of this measure is to collect data and define an action pathway towards a complete phase-out of fossil fuel boilers for heat generating systems by 2040.,Governance policy or measure.,"EUR 300.000,00 from the budget of the AGE.","MITERD, MIVAU, INE, IDAE, IETcc","Planned, under development and partially implemented.",2026-2029,2026-2030
4.1.2,Promoting the incorporation of biomethane into the existing natural gas distribution network,"The objective of this measure is the decarbonisation of natural gas boilers, the most widespread typology, through supply solutions not involving intervention on existing equipment, as an alternative to electrification-based solutions.",Economic and governance policy or measure.,"EUR 108.750.000,00 from the budgets of the General State Administration, the budgets of the Autonomous Communities, the budgets of the Member States and Next Generation funds.","MIVAU, MITERD, IDAE, ACs and LEA","Planned, under development and partially implemented.",2026-2029,2026-2030
4.1.3,Deployment of efficient district heating and cooling networks,"In line with what is described in Measure 4.1.2, there is the possibility of decarbonising the heating system without the need to install new generating equipment through the incorporation of buildings into district heating and cooling networks.",Economic and governance policy or measure.,"EUR 218.170.000,00 from the budgets of the General State Administration, the budgets of the Autonomous Communities and the budgets of the Member States.","MITERD, MIVAU, INE, IDAE, IETcc","Planned, under development and partially implemented.",2026-2029,2026-2030
4.1.4,"Activation of the change of supply of fossil fuel heating, cooling and DHW systems","This measure aims at physically implementing interventions for the decarbonisation of fossil fuel boilers and, in addition, at limiting the installation of new equipment leading to a replacement at an early stage of its life cycle.","Governance, training and awareness-raising.","EUR 400.000,00 from the budgets of the General State Administration, the budgets of the Autonomous Communities and the budgets of the Member States.","MITERD, MIVAU, ACs and LAS",Planned,2026-2029,2026-2030
4.2.1,Development and updating of regulatory requirements for the use of renewable energy in new buildings or buildings with significant intervention,"The objective of this measure is to promote the final use of renewable energy by updating the regulatory framework for buildings and installations. This will make it possible to boost and ensure the use of renewable energy in buildings, in line with the decarbonisation and energy efficiency objectives set out in the EPBD.",Regulatory measure.,"As these are actions of a regulatory nature with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.","MIVAU policy, MITERD",Planned and partially implemented.,2026-2029,2026-2030
4.2.2,Development of the regulatory area of infrastructure and technologies for the supply of renewable energy to buildings,"The objective of this measure is to facilitate the generation and supply of renewable energy to buildings, taking into account both the characteristics of the building stock and the building's urban and energy environment.",Legislation and technical science.,"As these are actions of a regulatory nature with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.","MIVAU, MITERD, IDAE, CC.AA, EE.LL",Planned and partially implemented.,2026-2029,2026-2030
4.2.3,Development of economic support programmes for the promotion of renewable energy installations and technological solutions,The objective of this measure is to boost both the generation and supply of renewable energy to buildings and the use of such energy by buildings.,Economic policy or measure.,"EUR 591.000.000,00 from AGE budgets and Next Generation funds.","MITERD, IDAE, CC.AA, EE.LL",Planned and partially implemented.,2026-2029,2026-2030
4.2.4,Information actions to promote renewable energy installations and technological solutions,"The aim of this action is to promote active participation among the general public and, among stakeholders in the sector in particular, in energy management through the creation of energy communities and the use of their energy.",Training and awareness-raising.,"EUR 1.030.000,00 from the budgets of the AGE, the ACs and the LEA.","IDAE, ACS, USA",Planned and partially implemented.,2026-2030,2026-2030
4.3.1,Definition and updating of regulatory requirements for solar energy generation in buildings,The aim of this measure is to boost the solar energy installations of buildings by increasing the minimum requirements for their provision in the legislation in force.,Legislation.,"As these are actions of a regulatory nature with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.",MIVAU,Planned and under development.,2026-2029,2026-2030
4.3.2,Development and updating of the regulatory framework for self-consumption,"The proposed measures aim to respond to new demands and technological developments in the area of self-consumption, as well as to promote energy storage.",Regulatory measure.,"EUR 500.000,00 from the budget of the AGE.",MITERD,Planned and partially implemented.,2026-2029,2026-2030
4.3.3,Encouraging the installation of solar energy installations in buildings through support and exemplary work by the administration,"Complementary to the promotion of on-site energy generation, which accounts for most of the economic incentives aimed at improving the energy efficiency and renovation of buildings or at urban regeneration, this measure defines actions whose main objective is financial support for projects aimed at promoting the generation of solar or similar energy, such as wind energy, in buildings.",Economic policy or measure.,EUR 975.000.000 from AGE budgets and Next Generation funds.,"MITERD, IDAE, ACs and LAS",Planned and partially implemented.,2026-2029,2026-2030
4.3.4,Development of information and awareness-raising strategies to boost the deployment of solar energy installations in buildings,"Promote the installation of solar and wind systems in residential, public and heritage buildings through information campaigns, technical advice and the dissemination of financial support.",Training and awareness-raising.,EUR 1.400.000 from the budget of the AGE.,"MITERD, IDAE, State Public Employment Service, ACs and LLLs, professional associations and associations",Planned and partially implemented.,2026-2029,2026-2030
4.4.1,Regulatory development for the promotion of smart technologies and infrastructure for sustainable mobility in buildings,The aim of this measure is to consolidate a regulatory framework to boost citizens' demand for smart solutions and sustainable mobility.,Regulatory measure.,"As these are actions of a regulatory nature with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.","MIVAU, MITERD, MITMS, ACs and LAS",Planned and partially implemented.,2026-2029,2026-2030
4.4.2,Promoting smart technologies and infrastructure for sustainable mobility in buildings through support and exemplary work by the administration,"The objective of this measure is to boost the development of smart buildings and sustainable mobility through economic and fiscal incentives, such as subsidies and other types of public support, and through the exemplary work of the administration in this area.",Governance and financial policy or measure.,"EUR 984.000.000,00 from the budget of the General State Administration, ERDF funds and Next Generation funds for aid measures.","MIVAU, MITERD, MITMS, ACs and LEA",Planned and partially implemented.,2026-2029,2026-2030
4.4.3,"Development of information, awareness-raising and training strategies for the development of smart technologies and infrastructure for sustainable mobility in buildings","This measure aims to promote the use of smart technologies and sustainable mobility in buildings through information campaigns, technical advice and the dissemination of financial support.","Governance, training and information.","EUR 900.000,00 to be paid by the PGE for training and information procedures.","MIVAU, MITERD, MITMS, Servicio Público de Empleo Estatal, Red.es, ACs and EE.LL",Planned and partially implemented.,2026-2029,2026-2030
5.1.1,Simplifying administrative procedures for planning and implementing energy renovations,"In accordance with Article 5 (17) of the EPBD, the objective of this measure is to remove non-economic barriers to building renovation, particularly those related to the application and processing of licences and other administrative authorisations, as well as the application for aid.",Regulatory and governance policy or measure.,"As these are actions of a legislative nature or organisational or governance actions with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.","MIVAU, MITERD, IDAE, Autonomous Communities and Local Authorities",Under development and partially completed.,2026,2026-2030
5.1.2,Removal of barriers for energy renovation in buildings in co-ownership,"In accordance with Article 5 (17) of the EPBD, the objective of this measure is to remove non-economic barriers to building renovation, particularly those related to actions in buildings in co-ownership.","Regulatory, governance and awareness raising.","As these are actions of a regulatory nature or organisational or governance actions with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.",AGE,Under development and partially completed.,2026-2027,2026-2030
5.1.3,Public instruments to support the financing of energy renovations of buildings,"In accordance with Article 17 of the EPBD, the objective of this measure is to remove economic barriers to the energy renovation of buildings and, in particular, to promote financial instruments from the public sector to reduce the economic burden of actions and facilitate access to finance.",Economic policy or measure.,Not specified in detail,Various public entities,Under development,2026,2026-2030
7.1.1,Strategic planning and structuring of the network of one-stop-shops for energy renovation,"In accordance with Art. 18 of the EPBD, the objective of this measure is to encourage the strengthening and consolidation of a network of one-stop shops for advice and support in energy renovation processes of buildings.",Technical and governance scientist.,"EUR 450.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CC.AA, EE.LL",Under development and partially completed.,2026,2026-2030
7.1.2,Financial stimulus for strengthening and consolidating the network of one-stop-shops for the energy renovation of buildings,"In accordance with Art. 18 of the EPBD, the objective of this measure is to encourage the strengthening and consolidation of a network of one-stop shops for advice and support in energy renovation processes of buildings.",Economic policy or measure.,"EUR 34.200.000,00 from the budgets of the AGE and EUR 16.800.000,00 from the budgets of the ACs.","AGE policy, the Autonomous Communities and local authorities",Under development and partially completed.,2026-2027,2026-2030
7.1.3,Technical assistance for the proper functioning of the one-stop-shop network,"In accordance with Art. 18 of the EPBD, the objective of this measure is to encourage the strengthening and consolidation of a network of one-stop shops for advice and support in energy renovation processes of buildings.","Technical, training, governance and awareness-raising scientist.","EUR 2.000.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, CCAA, EELL",Under development and partially completed.,2026-2027,2026-2030
7.2.1,Improvement and updating of official training levels,"The lack of a workforce in the construction sector, both specialised and non-specialised, is one of the main challenges in this area, with attracting and retaining talent becoming a priority.",Training and awareness-raising.,"EUR 9.500.000,00 from the budgets of the AGE and the ACs.","MIVAU, MICIU, MIEFPD, CCAA and Technological Institutes related to construction and building","Planned, under development and partially implemented.",2026-2027,2026-2030
7.2.2,Continuing vocational training,"The renovation of the Spanish building stock requires professionals who are able to respond to challenges as diverse as, among others, digitalisation, energy efficiency, sustainability, circularity or globalisation of buildings.",Training and awareness-raising.,"EUR 5.000.000,00 from the budgets of the AGE and the ACs.","MIVAU, MICIU, MIEFPD, MIC, CCAA","Planned, under development and partially implemented.",2026,2026-2030
7.3.1,"Public communication for energy transition, sustainability and circularity in buildings","According to the EPBD, the objective of this measure is to increase the level of social knowledge about the opportunities of energy renovation, as well as to promote a positive perception of renovation as an investment in health, comfort, reduction of environmental impacts and savings.","Training, governance and awareness raising.","EUR 750.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, Autonomous Communities and local authorities",Under development and partially completed.,2026,2026-2030
7.3.2,Digital platforms for citizen energy action,"In accordance with Article 18 of the EPBD, the objective of this line is to ensure that citizens have access to comprehensive advice and practical tools facilitating the energy renovation of their homes and buildings, contributing to overcoming technical, economic and administrative barriers in the decision-making process.","Training, governance and awareness raising.","EUR 2.000.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, CCAA, LRA",All the actions described in this measure are under development and some of them are partially completed.,2026,2026-2030
5.1.4,Improving the terms and conditions of existing private financing instruments,"In accordance with Article 17 of the EPBD, the objective of this measure is to strengthen and improve existing financial instruments in the field of energy renovation of buildings and to remove identified market barriers to facilitate their proper implementation.","Economic and regulatory policy or measure.","As these are actions of a legislative nature or organisational or governance actions with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.",AGE,Under development and partially completed.,2026-2028,2026-2030
5.1.5,Development of innovative private and public-private financing instruments,"In accordance with Article 17 of the EPBD and Article 30 of the EED, the objective of this measure is to boost new models of private or public-private financing that are emerging in the field of energy renovation of buildings and to remove market barriers to their proper deployment.","Economic and regulatory policy or measure.","As these are actions of a regulatory nature or organisational or governance actions with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.",AGE,Under development and partially completed.,2026-2028,2026-2030
5.1.6,Boosting new business models and removing barriers to scaling them up,"According to Article 17 of the EPBD, the objective of this measure is to boost the new business models that are emerging in the field of energy renovation of buildings and to remove market barriers to their proper deployment.","Economic, regulatory, governance and awareness raising.","As these are actions of a regulatory nature or organisational or governance actions with a reduced cost that is borne by the entities responsible for their implementation, no investments are allocated to these actions.",AGE,Under development and partially completed.,2026-2027,2026-2030
6.1.1,Analysis and selection of energy renovation solutions adapted to the building typology and climatic zone,"In accordance with Article 2 (6) of the EPBD, the objective of this measure is to improve knowledge of the best available practices on energy renovation solutions, adaptable to the different uses and climatic zones in the Spanish territory. This is to ensure that the planned actions are not only technically feasible but also economically viable.","Technical, governance and awareness-raising scientist.","EUR 1.450.000,00 from the budget of the AGE.","MIVAU, MITERD, IDAE, IETcc, Ministry of Culture",Under development and partially completed.,2026-2027,2026-2030
6.1.2,Updating and improving the existing technical regulatory framework on energy efficiency applied to the field of buildings,"In accordance with Article 2 (6) of the EPBD, the objective of this measure is to promote and encourage the application of optimal solutions in the building stock from the point of view of its technical, economic and environmental feasibility.","Technical, regulatory and governance scientist.","EUR 3.100.000,00 from the budget of the AGE","MIVAU, MITERD, IDAE, IETcc, CCAA, EELL",Under development and partially completed.,2026-2027,2026-2030
6.2.1,Boosting circularity in the building sector by amending the regulatory framework,"The objective of this measure is to establish a comprehensive and up-to-date regulatory framework that will drive the transition of the building sector towards a circular economy model. With this measure, the aim is to align the regulatory framework at national, regional and local level with the common purpose and objective of minimising resource extraction and the generation of construction and demolition waste (CDW), maximising its recovery and promoting the reuse of materials and their recycling.","Regulatory measure.","The actions described in this measure are carried out directly with the own resources of the competent administrations involved and do not entail additional expenditure for them.","MITERD policy, ACs, LAS","Planned, under development and partially implemented.",2026-2028,2026-2030
6.2.2,Strategic planning for circularity,"The objective of this measure is to boost the effective implementation of the regulatory changes described in measure 6.2.1, leading to the transformation of the building sector towards a more sustainable and efficient scenario. The aim is to significantly reduce the generation of construction and demolition waste, increase its reuse, recycling and recovery, and reduce the extraction and consumption of raw materials.","Economic, scientific-technical, awareness-raising and governance.","EUR 95.000.000,00 from the budgets of the AGE, the Autonomous Communities and NextGenerationEU funds.","MITERD policy, Autonomous Communities and local authorities","Planned, under development and partially completed.",2026-2027,2026-2030
6.2.3,Inclusion of circularity criteria in renovation and renovation actions for public buildings,"This measure aims to enhance circularity and introduce environmental sustainability criteria in the building sector, exerting, through public procurement, a driving effect that drives significant changes in private initiative projects, providing a stable demand for projects aligned with the circular economy.","Regulatory and governance policy or measure.","EUR 4.750.000,00 from the budgets of the AGE and the ACs.","AGE policy, Autonomous Communities. Local authorities and the institutional public sector.","Planned, under development and partially implemented.",2026,2026-2030
6.3.1,Amendment of the existing regulatory framework incorporating the new aspects of the carbon footprint applied to buildings,"The GWP over the whole life cycle of a building indicates the building's overall contribution to the emissions that cause climate change. The EPBD provides for this indicator to account for all greenhouse gas emissions that occur when a building is constructed, from emissions embodied in construction products to emissions and externalities that occur at the end of a building's useful life, as well as direct and indirect emissions generated during the use stage.","Regulatory measure.","The actions described in this measure are carried out directly with the own resources of the competent administrations involved and do not entail additional expenditure for them.","MIVAU, MITERD, IETcc policy","Planned and under development.",2028-2030,2028-2030
6.3.2,Setting global warming potential limits for new buildings and extensions of existing ones,"The EPBD requires Member States to set limit values on the total cumulative GWP over the life cycle of buildings, with targets to be set from 2030 onwards, in line with the Union's objective to reach climate neutrality by 2050. To this end, national roadmaps detailing how to introduce such thresholds should be drawn up and notified to the European Commission.","Technical, knowledge support and regulatory.","EUR 1.070.000,00 from the budget of the AGE.","MIVAU policy, IETcc, industry associations",Under development and partially completed.,2026-2027,2026-2030
6.3.3,Dissemination in the field of sustainable buildings,"The actions grouped under this measure aim to facilitate the effective implementation of the new requirements for calculating the GWP in the building sector, boosting its transition to a decarbonised model. They seek to empower and equip sector actors, from project technicians and project managers to developers and public administrations, with tools through a structured process that includes gathering technical consensus, knowledge transfer on sustainable solutions, development of practical implementation tools, and mass dissemination of new requirements.","Training and information policy or measure.","EUR 680.000,00 from the budget of the AGE.","MIVAU, MITERD, IETcc, Autonomous Communities and industry associations policy","Planned, under development and partially implemented.",2026-2028,2026-2030
6.4.1,PERTE Housing Industrialisation,"Transformation of the construction sector, increasing its productive capacity and converging to best practices in housing industrialisation. The project aims to develop an industrial policy plan to achieve a larger, scaled and sufficiently diversified industrial structure in the territory, through adequate public-private funding to make it competitive.","Training, technical science, awareness raising, economics, governance and regulation.","EUR 130.000.000,00 from the budget of the AGE.","MIVAU, MINTUR, MINECO, CCAA, ELLL, Institutional Public Sector, Technological Institutes related to Construction and Building","Planned, under development and partially implemented.",2026-2028,2026-2030
6.4.2,Standardisation and improvement or updating of current regulations,"Foster collaboration and standardisation. The expansion of open industrialisation in the sector must be driven by a shift towards collaborative or vertical integration schemes. This new model is based on transparency, fostering the interrelationship between the different actors in the process, based on the industrialisation and specialisation of the sector, proven quality, etc.","Legislation and awareness-raising.","EUR 40.000,00 from UNE funds, as regards the expenditure of the UNE Sub-Committee CTN-UNE 41/SC 14 ""Industrialised Construction"". For the regulatory review referred to in point 6.4.2.2, as these are actions of a regulatory nature, no investments are allocated.","MIVAU, MINTUR, MINECO, CCAA, ELLL, Institutional Public Sector, Technological Institutes related to Construction and Building",Under development and partially implemented.,2026-2028,2026-2030
6.4.3,Research activities in industrialised construction,"Fostering training, innovation and collaboration. The aim is to lay the foundations for cooperation in order to promote all the cooperation and support activities necessary for the establishment of a national reference centre for the industrialisation and robotics of construction and architecture.","Training, technical science and awareness-raising.","EUR 13.000.000,00 from the budgets of the AGE and the ACs.","MIVAU, MINTUR, CCAA, Technological institutes related to construction and building",Planned and partially implemented.,2026,2026-2030
