measure_id,measure_name,objective,type_of_policy_or_measure,instrument_type,source,quantitative_target,planned_budget_and_sources,entities_responsible,expected_impact,state_of_execution,date_of_entry_into_force,implementation_period
LT_011,EE10-P Renovation (modernisation) of one- or two-apartment dwellings by natural persons,"Financial instrument (continuation of EE10-E) implemented 2023-2030 to modernise 21,000 single-family houses.",Measures to promote the renovation of buildings,Financial,NECPs,"Modernise 21,000 single-family houses.","Total funds: EUR 3,004.11 million; Public funds: EUR 152.89 million. (Public funds; Private funds)",AM,"GHG saved: 191.96 kt; cumulative fuel & energy savings: up to 1,199.43 GWh.",Ongoing,2023,2030
LT_012,"VR2-E Refurbish and/or modernise heat points/heating systems in multi-apartment, individual and/or public buildings",Infrastructure measure to improve energy efficiency and reduce thermal energy consumption; mitigates climate change and improves quality of life of residents.,Measures to promote the renovation of buildings,Infrastructural,NECPs,"Upgrade 2,000 heat points/heating systems.",—,"AM, ENMIN",—,Implemented,2019,In 2021
LT_013,Art. 2.01.02:2016 - Correction to the introduction of the renovation passport concept and process,Proposed on the basis of the Directive (renovation passport concept/process).,Measures to promote the renovation of buildings,Regulatory,—,Not expected (quantitative target).,—,AM,Not expected.,Not implemented,29 May 2026,By 29 May 2026
LT_014,Financial support scheme for the renovation of worst-performing residential buildings,Promote renovation of lowest-energy-class residential buildings to reduce energy consumption and GHG emissions.,Measures to promote the renovation of buildings,Financial,"Directive, Art. 9, pt. 4",—,"EU funds, public budget, private investment.","AM, EPMA",—,Impracticable,2026,2040
LT_015,EN1-E Reimbursement of heating costs of dwellings,"For the housing heating of deprived residents, the part of the expenditure that exceeds 10% of the difference between the income and the state-supported income (coefficients apply by family size).",Alleviating energy poverty,Financial,NECPs,2023 SMI-2: EUR 314; 2024 SMI-2: EUR 352; 2023 SMI-3: EUR 421; 2024 SMI-3: EUR 528,Total funding: EUR 996.50 million; Public funding: EUR 681.11 million (Public funds),SADM,—,Ongoing,1995,—
LT_016,EN2-E Payment of credit taken for renovation of multi-apartment building and interest to persons entitled to reimbursement of heating costs,Payment of credit taken for the renovation/modernisation of a multi-apartment building and interest for persons entitled to reimbursement of heating costs.,Alleviating energy poverty,Financial,NECPs,—,Total funding: EUR 996.50 million; Public funding: EUR 681.11 million (Public funds),"AM, SADM",—,Ongoing,2009,—
LT_017,EN3-E Encourage the purchase of solar power plants and/or replacement of fossil heat installations by deprived persons,"Encourage poorer people to purchase solar power plants and/or replace fossil heat installations. Within the scope of the measure, the purchase of solar power plants and the replacement of heat installations using fossil fuels for deprived persons will be financed.",Alleviating energy poverty,Investment,NECPs,Reach 69 people and 573 kW installed heat capacity,Budget made up of EUR 996.50 million total and EUR 681.11 million public funds (Public funds),"ENMIN, AM",—,Ongoing,2023,2030
LT_018,PR3-P Develop a plan to reduce energy costs in the event of an energy supply disruption or a sudden spike in electricity prices,Municipal preparedness/response plan to reduce household energy costs in crisis situations.,Alleviating energy poverty,Regulatory,National Climate Adaptation Plan 2024-2030,Municipalities draw up 1 plan each,Budget of municipalities,Municipalities,—,Ongoing,2024,2026
LT_019,Preparation and implementation of the Social Climate Plan,"Document with more measures and investments to help households, micro-enterprises and transport users affected by the inclusion of buildings and road transport in the EU ETS2.",Alleviating energy poverty,Regulatory,"Regulation (EU) 2023/955, Art. 4",—,—,"AM, SADM, ENMIN, EIMIN, SUMIN",—,Ongoing,2024,2032
LT_020,Establishment of a Social Climate Fund,"The Fund is intended to help mitigate the negative socio-economic impacts that climate-change mitigation policies may have, especially on vulnerable groups.",Alleviating energy poverty,Economic; Financial,"Regulation (EU) 2023/955, Art. 1",—,Total funds: EUR 885 million (EU funds: EUR 664 million; Vb funds: EUR 221 million) (EU funds; Vb funds),AM,—,Ongoing,2026,2032
LT_021,Establish a national network of one-stop-shops that is physically accessible across Lithuania,"Provide independent advice on the energy performance of buildings and contribute to integrated district renovation programmes, as well as specific services for people affected by energy poverty and people from low-income households",One-stop shops for improving the energy performance of buildings,Administrative,Article 18 of the Directive,Refurbishment advice for 10 bodies by 2030,Total funds (Public funds),"EPMA, municipalities",—,Impracticable,2026,2030
LT_022,EE7-E Replacement of boilers into other more efficient technologies,The implementation of the measure will achieve the heating goal of replacing fossil fuel boilers in households by 2030 and adopting energy efficiency measures resulting in savings of at least 139 GWh annually.,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Financial,NECPs (in line with Article 13 of the Directive),"5,000 household boilers renewed every year","Total funding: EUR 3,004.11 million and public funding of EUR 1,152.89 million (Total and public funds)","ENMIN, APVA, LEA",TWh,Ongoing,In 2021,2030
LT_023,EE7-P Replacement of boilers into more efficient technologies,Continuation of measure EE7-E.,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Financial,NECPs (in line with Article 13 of the Directive),"Replace 11,305 heat pumps","Total funds: EUR 6,774.93 million, of which public funds: EUR 2,038.82 million (Public and private funds)","ENMIN, EPMA, LEA","Saving 50.66 kt of GHG emissions and reaching fuel & energy savings up to 1,217.18 GWh",Ongoing,2025,2030
LT_024,EE15-E Renovation of non-residential buildings (modernisation) of non-residential buildings of legal persons,Aims to encourage the renovation of non-residential buildings in order to obtain a more efficient energy class.,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Financial,NECPs,19 buildings refurbished,"Total funding: EUR 3,004.11 million and public funding of EUR 1,152.89 million (Public funds)",AM,Saving 171.1 GWh of total fuel and energy,Implemented,In 2021,2023
LT_025,EE15-P Renovation of non-residential buildings (modernisation) of non-residential buildings of legal persons,Continuation of measure EE15-E.,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Financial,NECPs,"Renovate 700,000 m2 of building area","Total funds: EUR 6,774.93 million (Public and private funds)",AM,Save 156.61 kt of GHG emissions and overall fuel & energy savings up to 526.12 GWh,Ongoing,2024,2030
LT_026,AE7-E Solar and wind power plants in the business sector,Promote the rapid and massive deployment of light power through the European Solar Rooftops Initiative.,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Economic,NECPs,460 MW of RES for electricity generation created,"Total funds: EUR 2,417.67 million and public funds of EUR 1,806.05 million (REPowerEU Own contribution of businesses)",ENMIN,Total fuel & energy savings: 0.25 GWh and GHG emissions: 263.7 kt,Ongoing,2024,2029
LT_027,RES16-E Refurbish/upgrade the heat transmission network and its installations/elements,Aims to promote the modernisation of the heat transmission network (replacement of pipeline channel types; reduced technological losses; increased reliability of heat supply).,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Economic,NECPs,"1,000 km of heat networks refurbished","Total funds: EUR 2,417.67 million and public funds of EUR 1,806.05 million (Public funds)",ENMIN,65.52 kt of GHG emissions saved,Ongoing,2024,2029
LT_028,RES17-E Promotion of RES in district heating,Consists of 8 parts and aims to modernise heat transmission networks.,Measures to decarbonise heating and cooling (incl. DH/cooling) and reduce fossil-fuel use,Economic; Regulatory,NECPs,—,"Budget total: EUR 2,417.67 million, of which public funds amount to EUR 1,806.05 million (Public and private funds)","ENMIN, municipalities","1,968.78 kt of GHG emissions saved and 0.18 GWh of total fuel & energy consumption saved",Ongoing,2024,2029
LT_029,K4-E Waste sorting,"Promoting and educating the public about sorting, the use of secondary raw materials",Waste prevention and management measures,Economic; Education,NECPs,"With a recycling capacity of 128,214 t/year, the number of different publicity campaigns at regional level will be at least 10",Total funds: EUR 830.38 m; Public funds: EUR 549.24 m (Public and private funds),AM,Save up to 20.15 kt of GHG emissions,Ongoing,2024,2030
LT_030,PR4-P Renovation of waste infrastructure,—,Waste prevention and management measures,Infrastructural,National Climate Adaptation Plan 2024-2030,—,Investments from EU funds,AM,—,Ongoing,2024,2030
LT_031,1.1.1 Promote and finance the development of small businesses engaged in the sale and repair of second-hand goods,"Measure No 02-00-06-10 'Promote waste prevention' of the Development Programme for Environment Protection and Climate Change Management of the Ministry of Environment, approved by Order No D1-390 of 9 Aug 2023 and managed by the Development Programme for 2022-2030",Waste prevention and management measures,Investment,State waste management plan 2021-2027,—,"EUR 1,600 thousand (State budget funds; Other funds)",AM,—,Ongoing,2023,2025
LT_032,"2.1.1 Carry out publicity campaigns to promote the separate collection of waste (food, textiles, construction, furniture, packaging, tyres, hazardous waste)",—,Waste prevention and management measures,Education; Communication,State waste management plan 2021-2027,—,EU Structural Funds,Municipalities,—,Ongoing,2022,2026
LT_033,2.1.2 Increase control of separate collection of waste; apply liability for infringements of municipal waste management regulations,—,Waste prevention and management measures,Regulatory,State waste management plan 2021-2027,—,—,Municipalities,—,Ongoing,2022,2027
LT_034,Expand the number of collection sites for bulky waste by making them accessible,—,Waste prevention and management measures,Investment,State waste management plan 2021-2027,—,"EUR 31,000 thousand (EU Structural Funds, municipal budgets, other)",Municipalities; RATC,—,Ongoing,2023,2027
LT_035,4.1.1 Finance the modernisation and expansion of waste preparation for recycling and recycling infrastructure,—,Waste prevention and management measures,Investment,State waste management plan 2021-2027,—,"EUR 73,800 thousand (EU Structural Funds, state budget, other)",AM,—,Ongoing,2023,2027
LT_036,Develop eco-design criteria for construction waste,—,Waste prevention and management measures,Regulatory,State waste management plan 2021-2027,—,—,AM,—,Implemented,2022,2022
LT_037,5.1.1 Strengthen controls on businesses by ensuring that all recyclable waste is selected and recycled and remaining waste with energy content is used for energy recovery,—,Waste prevention and management measures,Regulatory,State waste management plan 2021-2027,—,—,EPD,—,Implemented,2023,2023
LT_038,5.1.2 Develop legislation to strengthen energy recovery requirements (incl. requirements for energy recovery and criteria defining the recoverability of waste),—,Waste prevention and management measures,Regulatory,State waste management plan 2021-2027,—,—,AM,—,Implemented,2024,2024
LT_039,7.1.1 Develop methodological information and organise trainings on waste accounting for operators and control authorities,—,Waste prevention and management measures,Investment,State waste management plan 2021-2027,—,EUR 20 thousand (Public funds),EPA,2 trainings organised in 2024 for the Department of Environmental Protection and the Ministry of Environment,Implemented,2023,2027
LT_040,Prepare legislative amendments related to the proper collection of data and information,—,Waste prevention and management measures,Regulatory,State waste management plan 2021-2027,—,—,AM,—,Ongoing,Unspecified,2023
LT_041,RES1-E Financial support to prosumers,To encourage energy consumers to self-generate renewable sources,Measures to promote RES in buildings,Economic,NECPs,"Have at least 400,000 prosumers and prosumer customers (including energy sector customers)","Total funds: EUR 2,417.67 million and public funds of EUR 1,806.05 million (Public funds)",ENMIN,Achieve 0.72% influence on RES share in gross final energy consumption,Ongoing,In 2021,2030
LT_042,RES3-E Use of RES in public and residential buildings,"Promote the use of renewable energy sources (solar, wind, geothermal, biofuels etc.) in public and residential buildings (for different social groups)",Measures to promote RES in buildings,Economic,NECPs,Installed capacity should reach 46 MW,"Total funds: EUR 2,417.67 million and public funds of EUR 1,806.05 million (Climate Change Programme)",AM,12.71 kt of GHG emissions saved,Ongoing,In 2021,2030
LT_043,RES4-E Introduction of RES power plants and storage facilities for legal entities and RES communities,To encourage legal entities and renewable energy communities to invest in equipment and individual storage facilities for electricity from RES,Measures to promote RES in buildings,Economic,NECPs,Installed electricity generation capacity would amount to 298.12 MW,"Total funds: EUR 2,417.67 million and public funds of EUR 1,806.05 million (Public funds)",ENMIN,Impact on RES target 0.56%,Ongoing,2020,2026
LT_044,AE15-E Fostering the deployment of electricity storage facilities in households,Promote the deployment of electricity storage facilities in households,Measures to promote RES in buildings,Economic,NECPs,Households to install 20 MWh of storage solutions,EUR 3.291 million (Operational Programme for EU Funds 2021-2027),ENMIN,—,Ongoing,2023,2029
LT_045,AE16-E Create energy communities in municipalities by allocating part of the power plants built to the poor / energy-poor population,"Intended for alleviation of energy poverty established by RES or Citizen Energy Communities. Includes municipal-owned entities, soft loans (3-5%) up to EUR 50-75k for construction or acquisition of RES plants.",Measures to promote RES in buildings,Economic,NECPs,144 MW RES for electricity generation,EUR 206 million (Public funds),—,—,Ongoing,2024,2029
LT_046,AE17-E Solar and wind power plants in the business sector,Measure for private sector to incentivise uptake of loans from REPowerEU; creation of 460 MW RES for electricity generation; financing private legal entities.,Measures to promote RES in buildings,Economic,NECPs,460 MW of RES for electricity generation created,"Total funds: EUR 2,417.67 million; public funds: EUR 1,806.05 million (incl. REPowerEU financing) (Public & private funds)","ENMIN, municipalities","Installed combined heat & power would reach 3.75 MW, fuel & energy savings of 0.25 GWh, GHG savings 263.74 kt",Ongoing,—,2030
LT_047,B.1.1.2 Support the construction of RES electricity storage capacity (MWh),New (individual) RES electricity storage capacity created (MWh),Measures to promote the deployment of solar energy in buildings in the NECP,Economic,Next Generation Lithuania,The (individual) electricity storage facilities with a capacity of 1.52 MWh are connected to the plant and come into operation.,EU funds,FM,The (individual) electricity storage facilities with a capacity of 1.52 MWh are connected to the plant and come into operation.,Ongoing,In 2021,Q2 2026
LT_048,Change to ensure that all new buildings are designed to optimise their solar generation potential and enable the subsequent cost-effective installation of solar technologies,—,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,"Directive, Art. 10, 1st para.",—,—,—,—,—,—,—
LT_049,Mandatory installation of solar power plants in new public and non-residential buildings (floor area above 250 m2),"The measure applies to all new public and commercial buildings. The aim is to integrate solar power plants as a standard building element, reduce primary energy consumption and CO2 emissions. Installation conditions: at least part of the roof has to be adapted for solar energy production.",Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,Install solar power plants in multi-apartment buildings by 2030,—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced greenhouse gas (GHG) emissions",Not implemented,December 2026,—
LT_050,Mandatory installation of solar power plants in all existing public buildings with a floor area above 250 m2,The measure applies to all existing public buildings; integrate solar power plants as a standard element; roof adapted for solar energy.,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,Install solar power plants in all public buildings > 250 m2 (100% coverage),—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced GHG emissions",Not implemented,December 2030,—
LT_051,Mandatory installation of solar power plants in all existing public buildings with a floor area above 750 m2,Same scope and conditions as above.,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,Install solar power plants in all public buildings > 750 m2 (100% coverage),—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced GHG emissions",Not implemented,December 2028,—
LT_052,"Mandatory installation of solar power plants in all existing public buildings with a floor area above 2,000 m2",Same scope and conditions as above.,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,"Install solar power plants in all public buildings > 2,000 m2 (100% coverage)",—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced GHG emissions",Not implemented,December 2027,—
LT_053,Suitable solar energy installations in existing non-residential buildings with useful floor area larger than 500 m2 when refurbished,Increase the production of renewable energy in buildings; reduce primary energy consumption and CO2 emissions; ensure that renovated large buildings contribute to climate-neutrality objectives.,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,Install solar power plants in all non-residential buildings with useful floor area above 500 m2 (100% coverage),—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced GHG emissions",Not implemented,December 2027,—
LT_054,Installation of suitable solar energy installations in all new residential buildings,Increase the production of renewable energy in buildings; reduce primary energy consumption and CO2 emissions; ensure climate-neutrality objectives.,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,Install solar power plants in all new residential buildings (100% coverage),—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced GHG emissions",Not implemented,December 2029,—
LT_055,Installation of suitable solar energy installations in all new covered car parks physically adjacent to the building,Increase the production of renewable energy; reduce primary energy consumption and CO2 emissions.,Measures to promote the deployment of solar energy in buildings in the NECP,Regulatory,Article 10(3) of the Directive,Install solar power plants in all new covered car parks (100% coverage),—,"AM, EM, APVA, municipalities","Increased share of RES in the building sector, lower energy costs for buildings, reduced GHG emissions",Not implemented,December 2029,—
LT_056,P21-E Building Life-Cycle Modelling Methodology,Implementation includes the development and validation of a methodology for building life-cycle modelling.,GHG reduction & carbon removal across building life-cycle,Regulatory,NECPs,Develop a methodology for life-cycle modelling of construction works,"Total funding: EUR 2,951.31 million; Public funding: EUR 1,760.04 million (Public funds)",SSVA,—,Ongoing,2024,2029
LT_057,Set new limit values and targets for total life-cycle global warming potential (GWP) of buildings for new buildings from 2030,"The aim is to ensure that, from 2030, buildings comply with the GWP limit values and are designed and constructed to reduce GHG emissions from the construction sector.",GHG reduction & carbon removal across building life-cycle,Regulatory,Directive Art. 7(5),"From 2030, all new buildings must not exceed the GWP limit values",—,"AM, EPMA",—,Not implemented,1 January 2027,—
LT_058,Supplement STR 2.01.02:2016 'Design and certification of the energy performance of buildings',Add benchmarks to GWP for limit values.,GHG reduction & carbon removal across building life-cycle,Regulatory,STR 2.01.02:2016,Ensure that new buildings meet the required minimum energy performance class,—,"AM, EPMA",—,Not implemented,1 January 2030,—
LT_059,T10-E Public information,The objective of the measure is to inform and educate the public in order to encourage the uptake of zero-emission vehicles and other alternative means of travel for the private car.,District & rural approaches and integrated renovation programmes,Information,NECPS,—,Public funds,"SUMIN, Municipalities",Total fuel and energy savings of 319.39 GWh,Ongoing,2017,2030
LT_060,T13-E Electric vehicle charging infrastructure,The measure includes the development of publicly accessible recharging infrastructure (2023-2029) with financial incentives in municipalities and along roads of national significance; development of public charging infrastructure (2024-2026); TEN-T and other EU-compliant locations; construction of primary infrastructure (2021-2022) and private infrastructure (2022-2027) where EVs are mostly parked with smart charging; regulatory rights/incentives; ensuring capacity of publicly accessible infrastructure (2021-2030); and implementation of Regulation (EU) 2023/1804.,District & rural approaches and integrated renovation programmes,Financial; Infrastructural; Regulatory,NECPS,160 recharging points installed (2022),Public funds,"SUMIN, Municipalities","Total fuel and energy savings of 1,625.18 GWh",Ongoing,In 2021,2030
LT_061,T15-E Implementation of sustainable mobility measures,Measure for the implementation of sustainable mobility plans.,District & rural approaches and integrated renovation programmes,Infrastructural,NECPS,—,Municipal funds,Municipalities,"Total fuel and energy savings of 2,378.67 GWh",Ongoing,2016,2030
LT_062,T18-E Development of cycling infrastructure,"The objective of the measure is to plan and build bicycle traffic infrastructure in urban, peri-urban and rural areas to reduce car traffic intensity in urban and peri-urban areas.",District & rural approaches and integrated renovation programmes,Economic,NECPS,"Length of 1,015 km of cycle infrastructure paths",Municipal funds; EU funds,"SUMIN, AM, Municipalities",Total fuel and energy savings of 366.3 GWh,Ongoing,2022,2030
LT_063,T23-E Promoting sustainable mobility,"Making public transport more attractive and alternative mobility. Includes reduction of ticket prices or free transport, faster movement, convenient connections, integration of electric car sharing and bike rental services, deployment of smart ticketing systems, modal alignment and continuous review of prices and routes (2023-2030).",District & rural approaches and integrated renovation programmes,Infrastructural,NECPS,Growth in the use of MT by 20% (annual),Municipal funds,"SUMIN, Municipalities",Total fuel and energy savings of 551.21 GWh,Ongoing,2023,2030
LT_064,EE16-P Implementation of integrated urban district renovation,The purpose of the measure is to develop and adopt an integrated inter-city sustainable business model and methodological materials for the approval by Lithuanian municipalities of a long-term plan for the renovation of urban districts on the basis of county and city master plans.,District & rural approaches and integrated renovation programmes,Regulatory,NECPS,"Cross-cutting, sustainable business model and methodological material adopted",—,AM,—,Planned,2025,2030
LT_065,Establish a national network of one-stop-shops (district approaches),"Provide independent advice on the energy performance of buildings and contribute to integrated district renovation programmes, as well as specific services for people affected by energy poverty and people from low-income households.",District & rural approaches and integrated renovation programmes,Information,Article 18 of the Directive,Refurbishment advice for 10 bodies by 2030,Public funds,"EPMA, Municipalities","Provide at least 5,000 advice per year to households",—,2026,2030
LT_066,Add to STR 2.06.04:2014 'Streets and local roads: General requirements',"Plan street renovation together with the renovation of adjacent buildings, modernisation of energy networks and development of green infrastructure (integrated planning approach).",District & rural approaches and integrated renovation programmes,Regulatory,STR 2.06.04:2014,—,—,"SUMIN, AM, APVA, Municipalities",—,Ongoing,2026,—
LT_067,EE3-E Renovation of public buildings,Includes the renovation of state-owned buildings owned by the State and municipalities. The measure is implemented for the refurbishment of state-owned buildings from 2021 to 2028 and for the refurbishment of municipally-owned buildings from 2021 to 2024.,Modernisation measures for buildings owned by public bodies,Infrastructural,NECPs,"Renovate 367,000 m2 of government public buildings and 86,220 m2 of municipal public buildings","Total funding: EUR 3,004.11 million, public funding EUR 1,152.89 million (Public funds)",AM,—,Ongoing,In 2021,2021-2028
LT_068,EE3-P Renovation of public buildings,Continuation of measure EE3-E,Modernisation measures for buildings owned by public bodies,Infrastructural,NECPs,"Renovated around 143,000 m2 of government public buildings and 363,787 m2 of municipal public buildings","Total funds: EUR 6,774.93 million, of which public funds: EUR 2,088.82 million (Public funds)",ENMIN,—,Ongoing,2024,2024-2030
LT_069,PR21-P Renovate public buildings and design new buildings with adaptation measures,"Buildings are not only designed for energy savings but also for cooling; installed air-conditioning systems, cool roofs, double facades.",Modernisation measures for buildings owned by public bodies,Infrastructural,National Climate Adaptation Plan 2024-2030,—,Municipal funds,Municipalities,—,Ongoing,2025,2025-2030
LT_070,Feasibility study and next phase for the deployment of the smart readiness indicator,"Assess readiness of the Lithuanian building sector for smart technologies, identify technical/financial options and prepare for full implementation.",Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Administrative,Directive 2020/2155 (smart readiness indicator),Improved understanding of smart functions in Lithuanian buildings and identification of options and technology gaps,—,AM,Assess the state of preparedness of the Lithuanian building sector for smart technologies,No plans to implement,2026,—
LT_071,EV-ready parking (>=20%) in new or refurbished non-residential buildings,"In new non-residential buildings under construction, refurbishment or overhaul, at least 20% of the total number of car parking spaces shall be capable of recharging electric vehicles.",Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"STR 2.06.04:2014, Art. 3",Adaptation of at least 20% of car parking spaces in new or renovated buildings to electric-vehicle charging,—,"AM, Construction Inspectorate, Municipalities, Construction Operators",—,Implemented,December 2011,—
LT_072,Pre-cabling requirement (>=50%) in new/refurbished non-residential buildings,"Add to STR 2.06.04:2014 that new/refurbished non-residential buildings must have at least 50% of parking spaces pre-cabled, and the remaining 50% ready for installation of recharging infrastructure.",Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"Directive, Art. 14(1)",Ensure >=50% pre-cabled parking spaces; remaining 50% ready for recharging infrastructure,—,"AM, Construction Inspectorate, Municipalities, Construction Operators",—,Not implemented,January 2027,—
LT_073,Bicycle parking in non-residential projects (>=15% capacity),Paragraph 17b of STR 2.06.04:2014 to be supplemented so every new building or reconstruction is equipped with bicycle parking spaces.,Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"Directive, Art. 14(1)",Install bicycle parking representing >=15% of the total capacity of non-residential occupants; include spaces for non-standard/large bicycles,—,"AM, Construction Inspectorate, Municipalities, Construction Operators",—,Not implemented,January 2027,—
LT_074,Office buildings: minimum EV recharging points,New office buildings with >5 parking spaces and office buildings undergoing major renovation to be equipped with at least 1 recharging point for every two parking spaces.,Measures to promote advanced technologies and infrastructures for sustainable mobility in buildings,Regulatory,"Directive, Art. 14(1)",Install >=1 recharging point per 2 parking spaces (areas with >5 parking spaces),—,"AM, Construction Inspectorate, Municipalities, Construction Operators",—,Not implemented,January 2027,—
